id_station,nom_station,longitude,latitude,altitude_metres,precipitations_mm,qualite_donnee_rr,date,code_departement
1004003,AMBERIEU,5.348333,45.955,249,1.0,1.0,1877-07-05,01
1004003,AMBERIEU,5.348333,45.955,249,7.0,1.0,1877-07-06,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-07,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-08,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-09,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-10,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-11,01
1004003,AMBERIEU,5.348333,45.955,249,3.0,1.0,1877-07-12,01
1004003,AMBERIEU,5.348333,45.955,249,17.0,1.0,1877-07-13,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-07-14,01
1004003,AMBERIEU,5.348333,45.955,249,30.0,1.0,1877-07-15,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-07-16,01
1004003,AMBERIEU,5.348333,45.955,249,1.0,1.0,1877-07-17,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-18,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-19,01
1004003,AMBERIEU,5.348333,45.955,249,11.0,1.0,1877-07-20,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-21,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-22,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-23,01
1004003,AMBERIEU,5.348333,45.955,249,25.0,1.0,1877-07-24,01
1004003,AMBERIEU,5.348333,45.955,249,9.0,1.0,1877-07-25,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-26,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-27,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-28,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-29,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-30,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-07-31,01
1004003,AMBERIEU,5.348333,45.955,249,11.0,1.0,1877-08-01,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-02,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-03,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-04,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-08-05,01
